tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1000131,cust_34000,True,Mon Jan 01 00:00:00 +0000 2024,"@AmazonHelp I can't log into my account, keeps saying 'incorrect password' even after reset.",1000132,
1000205,cust_17261,True,Mon Jan 01 00:00:00 +0000 2024,"Received 876878-5288153 today and it's clearly defective, won't power on at all.",1000206,
1000150,AmazonHelp,False,Mon Jan 01 00:05:00 +0000 2024,That sounds frustrating. Can you DM us the email on file (no passwords please) so we can look into the reset delivery issue?,,1000149
1000089,cust_94268,True,Mon Jan 01 00:00:00 +0000 2024,"@AmazonHelp requesting a refund for 823588-1453697, item never arrived and it's been 3 weeks.",1000090,
1000059,cust_29094,True,Mon Jan 01 00:00:00 +0000 2024,Order 291200-5408156 says delivered but there's nothing on my porch. Ring camera shows no one came.,1000060,
1000133,cust_28554,True,Mon Jan 01 00:00:00 +0000 2024,"@AmazonHelp I can't log into my account, keeps saying 'incorrect password' even after reset.",1000134,
1000079,cust_25119,True,Mon Jan 01 00:00:00 +0000 2024,Where's my refund for order 731535-7109648? Your app says 'processed' but nothing in my bank account.,1000080,
1000074,AmazonHelp,False,Mon Jan 01 00:05:00 +0000 2024,Apologies for the delay -- I can confirm the return for 100244-3537804 was received and I've pushed the refund manually. It should reflect in 3-5 business days.,,1000073
1000279,cust_87224,True,Mon Jan 01 00:00:00 +0000 2024,"@AmazonHelp worst customer service ever, nobody has responded about 490303-2090139 in 5 days. Lawyer is next.",1000280,
1000164,AmazonHelp,False,Mon Jan 01 00:05:00 +0000 2024,"Sorry about that! I can see the duplicate charge on 433998-2546759 -- I've submitted a refund for the extra charge, it'll drop off in 3-5 business days.",,1000163
1000015,cust_23507,True,Mon Jan 01 00:00:00 +0000 2024,Can someone tell me the status of 666950-2976225? Nothing on the tracking page.,1000016,
1000271,cust_59296,True,Mon Jan 01 00:00:00 +0000 2024,"@AmazonHelp worst customer service ever, nobody has responded about 416618-3360675 in 5 days. Lawyer is next.",1000272,
